page,nombre_pieces,prix,adresse,image_lien
1,2,450 000,Sénégal,https://images.coinafrique.com/thumb_5387395_uploaded_image1_1750642851.jpg
1,,800 000,Sénégal,https://images.coinafrique.com/thumb_5412098_uploaded_image1_1751939146.jpg
1,,500 000,Sénégal,https://images.coinafrique.com/thumb_5395688_uploaded_image1_1751076164.jpg
1,,425 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5412095_uploaded_image1_1751937600.jpg
1,,900 000,Sénégal,https://images.coinafrique.com/thumb_5415828_uploaded_image1_1752110226.jpg
1,,400 000,Sénégal,https://images.coinafrique.com/thumb_5389146_uploaded_image1_1750721346.jpg
1,,400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5423524_uploaded_image1_1752540877.jpg
1,,350 000,,https://images.coinafrique.com/thumb_5409051_uploaded_image1_1751762409.jpg
1,,80 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428899_uploaded_image1_1752799321.jpg
1,,300 000,,https://images.coinafrique.com/thumb_5423479_uploaded_image1_1752538428.jpg
1,5,4 000 000,Sénégal,https://images.coinafrique.com/thumb_5428864_uploaded_image1_1752797449.jpg
1,,1 500 000,,https://images.coinafrique.com/thumb_5413787_uploaded_image1_1752018199.jpg
1,,800 000,,https://images.coinafrique.com/thumb_5394082_uploaded_image1_1750979290.jpg
1,,550 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411979_uploaded_image1_1751928084.jpg
1,,650 000,,https://images.coinafrique.com/thumb_5394077_uploaded_image1_1750978465.jpg
1,3,280 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428816_uploaded_image1_1752793681.jpg
1,,1 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411931_uploaded_image1_1751925812.jpg
1,,225 000,Sénégal,https://images.coinafrique.com/thumb_5427160_uploaded_image1_1752705745.jpg
1,,325 000,Sénégal,https://images.coinafrique.com/thumb_5427158_uploaded_image1_1752705627.jpg
1,,900 000,Sénégal,https://images.coinafrique.com/thumb_5417551_uploaded_image1_1752184975.jpg
1,,225 000,Sénégal,https://images.coinafrique.com/thumb_5428795_uploaded_image1_1752791432.jpg
1,,325 000,Sénégal,https://images.coinafrique.com/thumb_5428792_uploaded_image1_1752790901.jpg
1,3,350 000,Sénégal,https://images.coinafrique.com/thumb_5399611_uploaded_image1_1751328788.jpg
1,3,250 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428787_uploaded_image1_1752790426.jpg
1,5,113 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428773_uploaded_image1_1752789436.jpg
1,,200 000,Sénégal,https://images.coinafrique.com/thumb_5381113_uploaded_image1_1750275063.jpg
1,,300 000,Sénégal,https://images.coinafrique.com/thumb_5417479_uploaded_image1_1752181744.jpg
1,,500 000,Sénégal,https://images.coinafrique.com/thumb_5417471_uploaded_image1_1752181445.jpg
1,,500 000,Sénégal,https://images.coinafrique.com/thumb_5417466_uploaded_image1_1752181265.jpg
1,,425 000,Sénégal,https://images.coinafrique.com/thumb_5419087_uploaded_image1_1752266036.jpg
1,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5403172_uploaded_image1_1751487808.24.jpeg
1,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5403186_uploaded_image1_1751488402.89.jpeg
1,,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5403155_uploaded_image1_1751487085.73.jpeg
1,,550 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5403159_uploaded_image1_1751487251.72.jpeg
1,,225 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5403150_uploaded_image1_1751486937.8.jpeg
1,,200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5420335_uploaded_image1_1752346558.jpg
1,,4 500 000,Sénégal,https://images.coinafrique.com/thumb_5418984_uploaded_image1_1752259235.jpg
1,,225 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418945_uploaded_image1_1752257666.jpg
1,,850 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5417189_uploaded_image1_1752170169.jpg
1,,900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418907_uploaded_image1_1752256382.jpg
1,,3 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418916_uploaded_image1_1752256588.jpg
1,,180 000,Sénégal,https://images.coinafrique.com/thumb_5428585_uploaded_image1_1752776118.jpg
1,,620 000 000,Sénégal,https://images.coinafrique.com/thumb_5418901_uploaded_image1_1752256195.jpg
1,,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5384328_uploaded_image1_1750440485.jpg
1,,67 000 000,Sénégal,https://images.coinafrique.com/thumb_5428565_uploaded_image1_1752775759.jpg
1,3,300 000,Sénégal,https://images.coinafrique.com/thumb_5392014_uploaded_image1_1750868795.jpg
1,4,92 000 000,,https://images.coinafrique.com/thumb_5384181_uploaded_image1_1750435212.jpg
1,4,900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5403167_uploaded_image1_1751487717.jpg
1,,350 000,Sénégal,https://images.coinafrique.com/thumb_5402930_uploaded_image1_1751477788.jpg
1,,250 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418892_uploaded_image1_1752256073.jpg
1,,250 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418896_uploaded_image1_1752256112.jpg
1,,8 000 000,Sénégal,https://images.coinafrique.com/thumb_5428525_uploaded_image1_1752775094.jpg
1,6,474 740 000,Sénégal,https://images.coinafrique.com/thumb_5386766_uploaded_image1_1750607217.jpg
1,,650 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428490_uploaded_image1_1752773946.jpg
1,,550 000,Sénégal,https://images.coinafrique.com/thumb_5391968_uploaded_image1_1750866685.jpg
1,,300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418870_uploaded_image1_1752255302.jpg
1,,800 000,Sénégal,https://images.coinafrique.com/thumb_5428485_uploaded_image1_1752773722.jpg
1,,700 000,Sénégal,https://images.coinafrique.com/thumb_5428481_uploaded_image1_1752773573.jpg
1,,1 100 000,Sénégal,https://images.coinafrique.com/thumb_5423045_uploaded_image1_1752513268.jpg
1,3,400 000,Sénégal,https://images.coinafrique.com/thumb_5391958_uploaded_image1_1750866345.jpg
1,3,800 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415145_uploaded_image1_1752079205.jpg
1,,800 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428420_uploaded_image1_1752771882.jpg
1,4,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5423026_uploaded_image1_1752512385.jpg
1,,130 000 000,,https://images.coinafrique.com/thumb_5428414_uploaded_image1_1752771652.jpg
1,,2 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415126_uploaded_image1_1752078634.jpg
1,,350 000,Sénégal,https://images.coinafrique.com/thumb_5428385_uploaded_image1_1752770099.jpg
1,4,518 000,Sénégal,https://images.coinafrique.com/thumb_5388398_uploaded_image1_1750689380.jpg
1,2,120 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384117_uploaded_image1_1750432658.jpg
1,4,1 300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5422879_uploaded_image1_1752507537.jpg
1,3,250 000,Sénégal,https://images.coinafrique.com/thumb_5397378_uploaded_image1_1751209675.jpg
1,4,150 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5400686_uploaded_image1_1751379282.jpg
1,4,550 000,Sénégal,https://images.coinafrique.com/thumb_5388260_uploaded_image1_1750684375.jpg
1,3,300 000,Sénégal,https://images.coinafrique.com/thumb_5389854_uploaded_image1_1750769638.jpg
1,3,650 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5424470_uploaded_image1_1752589573.jpg
1,,1 200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428136_uploaded_image1_1752761137.jpg
1,,850 000,Sénégal,https://images.coinafrique.com/thumb_5400458_uploaded_image1_1751374157.jpg
1,,2 200 000,Sénégal,https://images.coinafrique.com/thumb_5394764_uploaded_image1_1751026681.jpg
1,,325 000,Sénégal,https://images.coinafrique.com/thumb_5418534_uploaded_image1_1752241207.jpg
1,,160 000,Sénégal,https://images.coinafrique.com/thumb_5383862_uploaded_image1_1750424344.jpg
1,,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5393286_uploaded_image1_1750942430.jpg
1,,200 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416672_uploaded_image1_1752151787.jpg
1,2,180 000,Sénégal,https://images.coinafrique.com/thumb_5383817_uploaded_image1_1750422740.jpg
1,4,500 000,Sénégal,https://images.coinafrique.com/thumb_5381925_uploaded_image1_1750330181.jpg
1,,400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5383794_uploaded_image1_1750422055.jpg
2,,250 000,Sénégal,https://images.coinafrique.com/thumb_5383787_uploaded_image1_1750421859.jpg
2,4,1 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416610_uploaded_image1_1752150402.jpg
2,3,300 000,Sénégal,https://images.coinafrique.com/thumb_5381915_uploaded_image1_1750329946.jpg
2,,350 000,Sénégal,https://images.coinafrique.com/thumb_5412753_uploaded_image1_1751978208.jpg
2,3,350 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416579_uploaded_image1_1752149540.jpg
2,2,300 000,Sénégal,https://images.coinafrique.com/thumb_5385211_uploaded_image1_1750502812.jpg
2,4,550 000,Sénégal,https://images.coinafrique.com/thumb_5385197_uploaded_image1_1750502372.jpg
2,4,300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5402380_uploaded_image1_1751458970.jpg
2,,200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428033_uploaded_image1_1752755735.jpg
2,2,75 000 000,Sénégal,https://images.coinafrique.com/thumb_5389621_uploaded_image1_1750761502.jpg
2,4,400 000,Sénégal,https://images.coinafrique.com/thumb_5393186_uploaded_image1_1750938387.jpg
2,,450 000,Sénégal,https://images.coinafrique.com/thumb_5394729_uploaded_image1_1751025530.jpg
2,4,500 000,Sénégal,https://images.coinafrique.com/thumb_5393170_uploaded_image1_1750937793.jpg
2,,160 000,Sénégal,https://images.coinafrique.com/thumb_5393155_uploaded_image1_1750937455.jpg
2,3,330 000,Sénégal,https://images.coinafrique.com/thumb_5408204_uploaded_image1_1751715611.jpg
2,4,1 200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5414550_uploaded_image1_1752059523.jpg
2,5,2 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5408192_uploaded_image1_1751715180.jpg
2,5,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5424071_uploaded_image1_1752578282.jpg
2,4,180 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5427882_uploaded_image1_1752751683.jpg
2,8,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5404072_uploaded_image1_1751537716.jpg
2,3,1 400 000,Sénégal,https://images.coinafrique.com/thumb_5404070_uploaded_image1_1751537673.jpg
2,03,500 000,Sénégal,https://images.coinafrique.com/thumb_5412546_uploaded_image1_1751972294.jpg
2,,130 000,Sénégal,https://images.coinafrique.com/thumb_5425921_uploaded_image1_1752662921.jpg
2,3,500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5397176_uploaded_image1_1751192484.jpg
2,4,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5397163_uploaded_image1_1751191814.jpg
2,,227 000 000,Sénégal,https://images.coinafrique.com/thumb_5403899_uploaded_image1_1751533057.jpg
2,3,500 000,,https://images.coinafrique.com/thumb_5418120_uploaded_image1_1752227755.jpg
2,4,1 200 000,,https://images.coinafrique.com/thumb_5418119_uploaded_image1_1752227749.jpg
2,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5379922_uploaded_image1_1750232552.jpg
2,,330 000,Sénégal,https://images.coinafrique.com/thumb_5401969_uploaded_image1_1751444478.jpg
2,,250 000 000,,https://images.coinafrique.com/thumb_5427282_uploaded_image1_1752710653.jpg
2,,1 400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5396891_uploaded_image1_1751153235.jpg
2,,1 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5407650_uploaded_image1_1751672179.jpg
2,,550 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5407642_uploaded_image1_1751671268.jpg
2,,900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5427210_uploaded_image1_1752707097.jpg
2,,1 600 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382989_uploaded_image1_1750371807.jpg
2,,1 300 000,Sénégal,https://images.coinafrique.com/thumb_5396819_uploaded_image1_1751149648.jpg
2,,165 000 000,Sénégal,https://images.coinafrique.com/thumb_5382971_uploaded_image1_1750371286.jpg
2,,75 000 000,,https://images.coinafrique.com/thumb_5382982_uploaded_image1_1750371536.jpg
2,,400 000,Sénégal,https://images.coinafrique.com/thumb_5427193_uploaded_image1_1752706644.jpg
2,,900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382945_uploaded_image1_1750370483.jpg
2,,550 000,Sénégal,https://images.coinafrique.com/thumb_5417576_uploaded_image1_1752186255.jpg
2,,110 000 000,Sénégal,https://images.coinafrique.com/thumb_5396791_uploaded_image1_1751148342.jpg
2,,900 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382907_uploaded_image1_1750369431.jpg
2,,850 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5396785_uploaded_image1_1751147901.jpg
2,,650 000,Sénégal,https://images.coinafrique.com/thumb_5396767_uploaded_image1_1751146917.jpg
2,,290 000,Sénégal,https://images.coinafrique.com/thumb_5382871_uploaded_image1_1750368138.jpg
2,,350 000,Sénégal,https://images.coinafrique.com/thumb_5382885_uploaded_image1_1750368624.jpg
2,,180 000,Sénégal,https://images.coinafrique.com/thumb_5380602_uploaded_image1_1750255847.jpg
2,,200 000,Sénégal,https://images.coinafrique.com/thumb_5382617_uploaded_image1_1750354976.jpg
2,2,400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5404438_uploaded_image1_1751548093.jpg
2,,1 200 000,Sénégal,https://images.coinafrique.com/thumb_5409124_uploaded_image1_1751771521.jpg
2,,550 000,Sénégal,https://images.coinafrique.com/thumb_5405524_uploaded_image1_1751580461.jpg
2,,200 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405518_uploaded_image1_1751580021.jpg
2,,1 200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405515_uploaded_image1_1751579805.jpg
2,,450 000,Sénégal,https://images.coinafrique.com/thumb_5394906_uploaded_image1_1751031405.jpg
2,,2 200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5397634_uploaded_image1_1751225912.jpg
2,2,250 000,Sénégal,https://images.coinafrique.com/thumb_5417117_uploaded_image1_1752166429.jpg
2,,600 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5393863_uploaded_image1_1750966431.jpg
2,,700 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5410321_uploaded_image1_1751845138.jpg
2,,600 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5410319_uploaded_image1_1751845061.jpg
2,2,250 000,Sénégal,https://images.coinafrique.com/thumb_5417101_uploaded_image1_1752166171.jpg
2,,750 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5389874_uploaded_image1_1750770691.jpg
2,,850 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5410315_uploaded_image1_1751844720.jpg
2,2,550 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5409127_uploaded_image1_1751771935.jpg
2,03,250 000,Sénégal,https://images.coinafrique.com/thumb_5417036_uploaded_image1_1752163923.jpg
2,,400 000,Sénégal,https://images.coinafrique.com/thumb_5382412_uploaded_image1_1750347529.jpg
2,,250 000,Sénégal,https://images.coinafrique.com/thumb_5391956_uploaded_image1_1750866272.jpg
2,,2 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5417032_uploaded_image1_1752163797.jpg
2,4,750 000,Sénégal,https://images.coinafrique.com/thumb_5418705_uploaded_image1_1752248396.jpg
2,4,700 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5426482_uploaded_image1_1752680107.jpg
2,,400 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5406779_uploaded_image1_1751642122.jpg
2,,850 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382323_uploaded_image1_1750343992.jpg
2,,175 000,,https://images.coinafrique.com/thumb_5400736_uploaded_image1_1751380375.jpg
2,04,500 000,Sénégal,https://images.coinafrique.com/thumb_5416870_uploaded_image1_1752157907.jpg
2,4,170 000 000,Sénégal,https://images.coinafrique.com/thumb_5378687_uploaded_image1_1750162748.jpg
2,3,330 000,Sénégal,https://images.coinafrique.com/thumb_5400668_uploaded_image1_1751378867.jpg
2,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5406478_uploaded_image1_1751632346.jpg
2,,425 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5406472_uploaded_image1_1751632154.jpg
2,,500 000,Sénégal,https://images.coinafrique.com/thumb_5406461_uploaded_image1_1751631549.27.jpeg
2,,180 000,Sénégal,https://images.coinafrique.com/thumb_5406453_uploaded_image1_1751631235.16.jpeg
2,2,233 100,Sénégal,https://images.coinafrique.com/thumb_5426142_uploaded_image1_1752668713.jpg
2,,1 600 000,Sénégal,https://images.coinafrique.com/thumb_5381999_uploaded_image1_1750333055.jpg
2,2,250 000,Sénégal,https://images.coinafrique.com/thumb_5416585_uploaded_image1_1752149623.jpg
