page,superficie,prix,adresse,image_lien
1,600,15 599 500,,https://images.coinafrique.com/thumb_5415803_uploaded_image1_1752108418.jpg
1,225,10 000 000,Sénégal,https://images.coinafrique.com/thumb_5403499_uploaded_image1_1751501578.jpg
1,154,95 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5389110_uploaded_image1_1750719729.jpg
1,30,20 000 000,,https://images.coinafrique.com/thumb_5413748_uploaded_image1_1752015357.jpg
1,257,12 000 000,,https://images.coinafrique.com/thumb_5397805_uploaded_image1_1751235060.jpg
1,350,275 000 000,,https://images.coinafrique.com/thumb_5419153_uploaded_image1_1752270712.jpg
1,7300,500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5395493_uploaded_image1_1751060044.jpg
1,,25 000 000,,https://images.coinafrique.com/thumb_5397719_uploaded_image1_1751230488.jpg
1,500,4 000 000,,https://images.coinafrique.com/thumb_5428576_uploaded_image1_1752775936.jpg
1,,17 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415098_uploaded_image1_1752077990.jpg
1,150,Prix sur demande,,https://images.coinafrique.com/thumb_5422934_uploaded_image1_1752509111.jpg
1,150,20 000 000,,https://images.coinafrique.com/thumb_5428253_uploaded_image1_1752765530.jpg
1,150,30 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394924_uploaded_image1_1751031863.jpg
1,300,10 000 000,,https://images.coinafrique.com/thumb_5393250_uploaded_image1_1750940797.11.jpeg
1,262,280 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5391435_uploaded_image1_1750848015.jpg
1,367,370 000 000,Sénégal,https://images.coinafrique.com/thumb_5381838_uploaded_image1_1750327059.jpg
1,167,80 000 000,Sénégal,https://images.coinafrique.com/thumb_5391366_uploaded_image1_1750845228.jpg
1,235,185 000 000,Sénégal,https://images.coinafrique.com/thumb_5391350_uploaded_image1_1750844585.jpg
1,732,1 000 000 000,Sénégal,https://images.coinafrique.com/thumb_5379949_uploaded_image1_1750233505.jpg
1,407,350 000 000,,https://images.coinafrique.com/thumb_5427675_uploaded_image1_1752746519.jpg
1,357,275 000 000,Sénégal,https://images.coinafrique.com/thumb_5398203_uploaded_image1_1751272356.jpg
1,3000,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5427649_uploaded_image1_1752745678.jpg
1,264,250 000 000,Sénégal,https://images.coinafrique.com/thumb_5398194_uploaded_image1_1751271917.jpg
1,150,30 000 000,Sénégal,https://images.coinafrique.com/thumb_5421971_uploaded_image1_1752470114.jpg
1,,3 500 000,,https://images.coinafrique.com/thumb_5407719_uploaded_image1_1751677561.jpg
1,300,8 500 000,Sénégal,https://images.coinafrique.com/thumb_5427134_uploaded_image1_1752704784.jpg
1,222,150 000 000,Sénégal,https://images.coinafrique.com/thumb_5427095_uploaded_image2_1752701548.jpeg
1,229,110 000 000,Sénégal,https://images.coinafrique.com/thumb_5427000_uploaded_image1_1752698025.jpg
1,300,7 500 000,,https://images.coinafrique.com/thumb_5417351_uploaded_image1_1752176503.jpg
1,24114,6 000,Sénégal,https://images.coinafrique.com/thumb_5417274_uploaded_image1_1752173345.jpg
1,600,40 000 000,Sénégal,https://images.coinafrique.com/thumb_5426787_uploaded_image1_1752690337.jpg
1,174,12 000 000,,https://images.coinafrique.com/thumb_5426743_uploaded_image1_1752688685.jpg
1,,5 500 000,,https://images.coinafrique.com/thumb_5390070_uploaded_image1_1750780362.jpg
1,,5 000 000,,https://images.coinafrique.com/thumb_5394935_uploaded_image1_1751032038.jpg
1,300,2 600 000,,https://images.coinafrique.com/thumb_5386599_uploaded_image1_1750598920.jpg
1,150,10 000 000,,https://images.coinafrique.com/thumb_5413808_uploaded_image1_1752019085.jpg
1,,2 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386593_uploaded_image1_1750598665.jpg
1,,5 000 000,,https://images.coinafrique.com/thumb_5426465_uploaded_image1_1752679521.jpg
1,150,25 000 000,Sénégal,https://images.coinafrique.com/thumb_5426417_uploaded_image1_1752677982.jpg
1,,650 000 000,Sénégal,https://images.coinafrique.com/thumb_5406530_uploaded_image1_1751634615.jpg
1,2,25 000 000,,https://images.coinafrique.com/thumb_5411049_uploaded_image1_1751890840.jpg
1,200,150 000 000,Sénégal,https://images.coinafrique.com/thumb_5410912_uploaded_image1_1751886704.jpg
1,180,18 000 000,Sénégal,https://images.coinafrique.com/thumb_5416248_uploaded_image1_1752140352.5.jpeg
1,150,2 000 000,,https://images.coinafrique.com/thumb_5399677_uploaded_image1_1751336804.jpg
1,150,2 000 000,,https://images.coinafrique.com/thumb_5399678_uploaded_image1_1751336885.jpg
1,300,150 000 000,,https://images.coinafrique.com/thumb_5399658_uploaded_image1_1751333152.jpg
1,6,4 000 000,,https://images.coinafrique.com/thumb_5415574_uploaded_image1_1752097542.jpg
