page,type_annonce,nombre_pieces,prix,adresse,image_lien
1,Location,,1 750 000,Sénégal,https://images.coinafrique.com/thumb_5392591_uploaded_image1_1750896617.jpg
1,Vente,,45 599 500,,https://images.coinafrique.com/thumb_5415772_uploaded_image1_1752107112.jpg
1,Vente,,499 500 000,,https://images.coinafrique.com/thumb_5392519_uploaded_image1_1750892828.jpg
1,Vente,6,200 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381339_uploaded_image1_1750286143.jpg
1,Location,,3 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5425437_uploaded_image1_1752626360.jpg
1,Vente,,199 500 000,,https://images.coinafrique.com/thumb_5392498_uploaded_image1_1750891913.jpg
1,Location,,2 300 000,Sénégal,https://images.coinafrique.com/thumb_5425424_uploaded_image1_1752625577.jpg
1,Vente,,64 959 499,,https://images.coinafrique.com/thumb_5415726_uploaded_image1_1752104150.jpg
1,Location,,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5425260_uploaded_image1_1752618760.jpg
1,Location,6,800 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399428_uploaded_image1_1751317853.jpg
1,Location,,1 300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411887_uploaded_image1_1751924116.jpg
1,Location,,2 300 000,Sénégal,https://images.coinafrique.com/thumb_5417488_uploaded_image1_1752181966.jpg
1,Vente,4,55 000 000,,https://images.coinafrique.com/thumb_5428727_uploaded_image1_1752785834.jpg
1,Vente,,35 000 000,,https://images.coinafrique.com/thumb_5408749_uploaded_image1_1751740242.jpg
1,Vente,,40 000 000,,https://images.coinafrique.com/thumb_5408746_uploaded_image1_1751740097.jpg
1,Location,,50 000,Sénégal,https://images.coinafrique.com/thumb_5428624_uploaded_image1_1752777984.jpg
1,Vente,,725 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418933_uploaded_image1_1752257088.jpg
1,Location,,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428555_uploaded_image1_1752775637.jpg
1,Location,7,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5390091_uploaded_image1_1750781162.jpg
1,Location,5,2 000 000,,https://images.coinafrique.com/thumb_5428370_uploaded_image1_1752769459.jpg
1,Vente,6,400 000 000,Sénégal,https://images.coinafrique.com/thumb_5416980_uploaded_image1_1752161669.jpg
1,Location,6,2 700 000,Sénégal,https://images.coinafrique.com/thumb_5422875_uploaded_image1_1752507467.jpg
1,Vente,2,175 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394939_uploaded_image1_1751032225.jpg
1,Location,6,800 000,Sénégal,https://images.coinafrique.com/thumb_5416915_uploaded_image1_1752159236.jpg
1,Location,5,750 000,Sénégal,https://images.coinafrique.com/thumb_5393304_uploaded_image1_1750943044.jpg
1,Vente,,50 000 000,Sénégal,https://images.coinafrique.com/thumb_5402455_uploaded_image1_1751462038.jpg
1,Vente,,38 000 000,,https://images.coinafrique.com/thumb_5402427_uploaded_image1_1751461311.jpg
1,Location,,1 300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428063_uploaded_image1_1752757043.jpg
1,Location,6,225 000 000,Sénégal,https://images.coinafrique.com/thumb_5385206_uploaded_image1_1750502673.jpg
1,Location,8,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5381898_uploaded_image1_1750329558.jpg
1,Location,6,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5385220_uploaded_image1_1750503037.jpg
1,Location,06,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5428051_uploaded_image1_1752756249.jpg
1,Location,1,90 000 000,,https://images.coinafrique.com/thumb_5427960_uploaded_image1_1752753947.jpg
1,Location,1,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5424086_uploaded_image1_1752578586.jpg
1,Location,,150 000,Sénégal,https://images.coinafrique.com/thumb_5425920_uploaded_image1_1752662814.jpg
1,Vente,,50 000 000,Sénégal,https://images.coinafrique.com/thumb_5401632_uploaded_image1_1751413212.jpg
1,Vente,,950 000 000,Sénégal,https://images.coinafrique.com/thumb_5396779_uploaded_image1_1751147489.jpg
1,Location,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5419125_uploaded_image1_1752268470.jpg
1,Vente,,Prix sur demande,,https://images.coinafrique.com/thumb_5417359_uploaded_image1_1752176755.jpg
1,Location,,250 000,Sénégal,https://images.coinafrique.com/thumb_5417248_uploaded_image1_1752172122.jpg
1,Vente,5,245 000 000,Sénégal,https://images.coinafrique.com/thumb_5426736_uploaded_image1_1752688509.jpg
1,Location,1,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5382500_uploaded_image1_1750350788.jpg
1,Vente,2,85 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5397546_uploaded_image1_1751222596.jpg
1,Vente,,150 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386043_uploaded_image1_1750544649.jpg
1,Vente,5,150 000 000,,https://images.coinafrique.com/thumb_5426447_uploaded_image1_1752679063.jpg
1,Vente,5,44 000 000,Sénégal,https://images.coinafrique.com/thumb_5426370_uploaded_image1_1752676375.jpg
1,Vente,1,57 000 000,Sénégal,https://images.coinafrique.com/thumb_5411113_uploaded_image1_1751893275.jpg
1,Location,08,2 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411028_uploaded_image1_1751890288.jpg
1,Vente,,37 000 000,Sénégal,https://images.coinafrique.com/thumb_5410992_uploaded_image1_1751889003.jpg
1,Vente,,55 000 000,Sénégal,https://images.coinafrique.com/thumb_5410962_uploaded_image1_1751888357.jpg
1,Vente,,111,,https://images.coinafrique.com/thumb_5426013_uploaded_image1_1752664914.jpg
1,Location,,250 000,Sénégal,https://images.coinafrique.com/thumb_5416279_uploaded_image1_1752141121.7.jpeg
1,Location,6,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5410656_uploaded_image1_1751878235.jpg
1,Location,7,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5410636_uploaded_image1_1751877758.jpg
1,Location,,1 200 000,,https://images.coinafrique.com/thumb_5415838_uploaded_image1_1752111243.jpg
1,Location,,Prix sur demande,,https://images.coinafrique.com/thumb_5410017_uploaded_image1_1751833099.jpg
1,Vente,,120 000 000,,https://images.coinafrique.com/thumb_5399330_uploaded_image1_1751313321.jpg
1,Location,3,400 000,,https://images.coinafrique.com/thumb_5424763_uploaded_image1_1752599539.jpg
1,Location,,375 000,,https://images.coinafrique.com/thumb_5424674_uploaded_image1_1752596143.jpg
1,Location,7,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5420164_uploaded_image1_1752334099.jpg
1,Vente,,220 000 000,Sénégal,https://images.coinafrique.com/thumb_5404600_uploaded_image1_1751551971.jpg
1,Vente,650,480 000 000,Sénégal,https://images.coinafrique.com/thumb_5385427_uploaded_image1_1750512279.jpg
1,Vente,,150 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5404533_uploaded_image1_1751550247.jpg
1,Vente,,160 000 000,Sénégal,https://images.coinafrique.com/thumb_5404504_uploaded_image1_1751549562.jpg
1,Location,9,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5424286_uploaded_image2_1752585313.jpeg
1,Vente,,225 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394768_uploaded_image1_1751026898.jpg
1,Location,7,600 000,Sénégal,https://images.coinafrique.com/thumb_5416608_uploaded_image1_1752150253.jpg
1,Location,8,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5424211_uploaded_image1_1752582121.jpg
1,Location,1,400 000,Sénégal,https://images.coinafrique.com/thumb_5389668_uploaded_image1_1750763013.jpg
1,Vente,8,145 000 000,Sénégal,https://images.coinafrique.com/thumb_5424063_uploaded_image1_1752577972.jpg
